0, nan, nan, nan, 0
1, 4.7792, 0.00, 10.81, 670
0, nan, nan, nan, 0
1, 1.7084, 0.00, 3.58, 670
0, nan, nan, nan, 0
1, 1.5214, 0.00, 3.38, 670
0, nan, nan, nan, 0
1, 1.8645, 0.00, 4.77, 670
0, nan, nan, nan, 0
1, 1.0768, 0.00, 3.47, 670
0, 1.7117, 0.00, 3.63, 670
1, nan, nan, nan, 0
0, 1.6084, 0.00, 3.98, 670
1, nan, nan, nan, 0
0, 1.5528, 0.02, 3.51, 670
1, nan, nan, nan, 0
0, 1.6141, 0.02, 3.42, 670
1, nan, nan, nan, 0
0, 1.8791, 0.02, 4.90, 670
1, nan, nan, nan, 0
