0, 8.8723, 8.87, 8.87, 0.00, 800000
1, 8.4665, 8.47, 8.47, 0.00, 800000
2, 9.0982, 9.10, 9.10, 0.00, 800000
3, 10.8090, 10.81, 10.81, 0.00, 800000
4, 10.0633, 10.06, 10.06, 0.00, 800000
5, 9.4087, 9.41, 9.41, 0.00, 800000
6, 9.8013, 9.80, 9.80, 0.00, 800000
7, 9.7367, 9.74, 9.74, 0.00, 800000
8, 7.2837, 7.28, 7.28, 0.00, 800000
9, 8.7979, 8.80, 8.80, 0.00, 800000
0, 3.4378, 3.44, 3.44, 0.00, 800000
1, 3.1952, 3.20, 3.20, 0.00, 800000
2, 3.0724, 3.07, 3.07, 0.00, 800000
3, 3.3970, 3.40, 3.40, 0.00, 800000
4, 3.1256, 3.13, 3.13, 0.00, 800000
5, 3.3542, 3.35, 3.35, 0.00, 800000
6, 3.5691, 3.57, 3.57, 0.00, 800000
7, 3.5782, 3.58, 3.58, 0.00, 800000
8, 3.2935, 3.29, 3.29, 0.00, 800000
9, 3.2246, 3.22, 3.22, 0.00, 800000
0, 2.9125, 2.91, 2.91, 0.00, 800000
1, 2.9595, 2.96, 2.96, 0.00, 800000
2, 2.9297, 2.93, 2.93, 0.00, 800000
3, 2.8081, 2.81, 2.81, 0.00, 800000
4, 3.0399, 3.04, 3.04, 0.00, 800000
5, 2.9830, 2.98, 2.98, 0.00, 800000
6, 3.3848, 3.38, 3.38, 0.00, 800000
7, 3.0946, 3.09, 3.09, 0.00, 800000
8, 2.7645, 2.76, 2.76, 0.00, 800000
9, 3.0492, 3.05, 3.05, 0.00, 800000
0, 2.8853, 2.89, 2.89, 0.00, 800000
1, 3.2915, 3.29, 3.29, 0.00, 800000
2, 2.7673, 2.77, 2.77, 0.00, 800000
3, 4.7708, 4.77, 4.77, 0.00, 800000
4, 2.6476, 2.65, 2.65, 0.00, 800000
5, 3.1032, 3.10, 3.10, 0.00, 800000
6, 4.5315, 4.53, 4.53, 0.00, 800000
7, 3.4062, 3.41, 3.41, 0.00, 800000
8, 3.6658, 3.67, 3.67, 0.00, 800000
9, 3.1133, 3.11, 3.11, 0.00, 800000
0, 2.0625, 2.06, 2.06, 0.00, 800000
1, 2.0833, 2.08, 2.08, 0.00, 800000
2, 2.0833, 2.08, 2.08, 0.00, 800000
3, 2.0833, 2.08, 2.08, 0.00, 800000
4, 2.0833, 2.08, 2.08, 0.00, 800000
5, 2.0833, 2.08, 2.08, 0.00, 800000
6, 2.0833, 2.08, 2.08, 0.00, 800000
7, 2.0833, 2.08, 2.08, 0.00, 800000
8, 2.0833, 2.08, 2.08, 0.00, 800000
9, 3.4654, 3.47, 3.47, 0.00, 800000
0, 3.4822, 3.48, 3.48, 0.00, 800000
1, 3.6311, 3.63, 3.63, 0.00, 800000
2, 3.4606, 3.46, 3.46, 0.00, 800000
3, 2.7950, 2.80, 2.80, 0.00, 800000
4, 2.6773, 2.68, 2.68, 0.00, 800000
5, 3.4951, 3.50, 3.50, 0.00, 800000
6, 2.7984, 2.80, 2.80, 0.00, 800000
7, 3.3975, 3.40, 3.40, 0.00, 800000
8, 2.2716, 2.27, 2.27, 0.00, 800000
9, 3.4603, 3.46, 3.46, 0.00, 800000
0, 2.8528, 2.85, 2.85, 0.00, 800000
1, 2.5373, 2.54, 2.54, 0.00, 800000
2, 3.6863, 3.69, 3.69, 0.00, 800000
3, 3.4226, 3.42, 3.42, 0.00, 800000
4, 3.9833, 3.98, 3.98, 0.00, 800000
5, 3.9552, 3.96, 3.96, 0.00, 800000
6, 2.5407, 2.54, 2.54, 0.00, 800000
7, 2.9538, 2.95, 2.95, 0.00, 800000
8, 3.0095, 3.01, 3.01, 0.00, 800000
9, 3.6095, 3.61, 3.61, 0.00, 800000
0, 3.4596, 3.46, 3.46, 0.00, 800000
1, 2.7408, 2.74, 2.74, 0.00, 800000
2, 3.5100, 3.51, 3.51, 0.00, 800000
3, 2.6624, 2.66, 2.66, 0.00, 800000
4, 2.9076, 2.91, 2.91, 0.00, 800000
5, 3.3114, 3.31, 3.31, 0.00, 800000
6, 3.1701, 3.17, 3.17, 0.00, 800000
7, 2.9857, 2.99, 2.99, 0.00, 800000
8, 3.0139, 3.01, 3.01, 0.00, 800000
9, 2.5597, 2.56, 2.56, 0.00, 800000
0, 3.3435, 3.34, 3.34, 0.00, 800000
1, 3.0050, 3.01, 3.01, 0.00, 800000
2, 3.1574, 3.16, 3.16, 0.00, 800000
3, 3.4155, 3.42, 3.42, 0.00, 800000
4, 3.1413, 3.14, 3.14, 0.00, 800000
5, 3.1184, 3.12, 3.12, 0.00, 800000
6, 3.2052, 3.21, 3.21, 0.00, 800000
7, 3.0425, 3.04, 3.04, 0.00, 800000
8, 3.1136, 3.11, 3.11, 0.00, 800000
9, 3.0407, 3.04, 3.04, 0.00, 800000
0, 4.9045, 4.90, 4.90, 0.00, 800000
1, 4.5594, 4.56, 4.56, 0.00, 800000
2, 3.0668, 3.07, 3.07, 0.00, 800000
3, 4.1255, 4.13, 4.13, 0.00, 800000
4, 4.4204, 4.42, 4.42, 0.00, 800000
5, 2.4844, 2.48, 2.48, 0.00, 800000
6, 4.4654, 4.47, 4.47, 0.00, 800000
7, 2.8402, 2.84, 2.84, 0.00, 800000
8, 2.8616, 2.86, 2.86, 0.00, 800000
9, 3.8749, 3.87, 3.87, 0.00, 800000
