file0, meanDelay, mindelay, maxdelay, delay_per_bit, packetCount
0, 3.1593, 3.16, 3.16, 0.00, 800000
1, 3.1162, 3.12, 3.12, 0.00, 800000
2, 2.6399, 2.64, 2.64, 0.00, 800000
3, 2.8920, 2.89, 2.89, 0.00, 800000
4, 2.9598, 2.96, 2.96, 0.00, 800000
5, 3.3886, 3.39, 3.39, 0.00, 800000
6, 3.4970, 3.50, 3.50, 0.00, 800000
7, 2.6942, 2.69, 2.69, 0.00, 800000
8, 3.2406, 3.24, 3.24, 0.00, 800000
9, 2.9737, 2.97, 2.97, 0.00, 800000
