0, nan, nan, nan, 0
1, nan, nan, nan, 0
2, 0.0375, 0.00, 6.00, 2535771
0, nan, nan, nan, 0
1, nan, nan, nan, 0
2, 0.0375, 0.00, 6.00, 2535771
0, nan, nan, nan, 0
1, nan, nan, nan, 0
2, 5.5767, 0.00, 18.51, 18148
0, nan, nan, nan, 0
1, nan, nan, nan, 0
2, 5.5767, 0.00, 18.51, 18148
0, 0, 0, 0, 0
1, 0, 0, 0, 0
2, 5.5767, 0.00, 18.51, 18148
0, 0, 0, 0, 0
1, 0, 0, 0, 0
2, 5.5767, 0.00, 18.51, 18148
0, 0, 0, 0, 0
1, 0, 0, 0, 0
2, 5.5767, 0.00, 18.51, 18148
0, 0, 0, 0, 0
1, 0, 0, 0, 0
2, 5.5767, 0.00, 18.51, 18148
0, 0, 0, 0, 0
1, 0, 0, 0, 0
2, 5.5767, 0.00, 18.51, 18148
0, 0, 0, 0, 0
1, 0, 0, 0, 0
2, 5.5767, 0.00, 18.51, 18148
0, 0, 0, 0, 0
1, 0, 0, 0, 0
2, 5.5767, 0.00, 18.51, 18148
0, 0, 0, 0, 0
1, 0, 0, 0, 0
2, 5.5767, 0.00, 18.51, 18148
0, 0, 0, 0, 0
1, 0, 0, 0, 0
2, 5.5767, 0.00, 18.51, 18148
0, 0, 0, 0, 0
1, 0, 0, 0, 0
2, 5.5767, 0.00, 18.51, 18148
0, 0, 0, 0, 0
1, 0, 0, 0, 0
2, 5.5767, 0.00, 18.51, 18148
0, 0, 0, 0, 0
1, 0, 0, 0, 0
2, 5.5767, 0.00, 18.51, 18148
0, 0, 0, 0, 0
1, 0, 0, 0, 0
2, 5.5767, 0.00, 18.51, 18148
0, 0, 0, 0, 0
1, 0, 0, 0, 0
2, 5.5767, 0.00, 18.51, 18148
0, 0, 0, 0, 0
1, 0, 0, 0, 0
2, 5.5767, 0.00, 18.51, 18148
